Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"component case","Case for the project",1,12.00,"https://stasis.hackclub.com/dashboard/projects/cmok26nhp00hv01o27elkibm4","printing-legion"
"Servo Motor","Rotating the sensor of a bigger angle of operation",1,4.00,"https://www.aliexpress.com/item/1005006283358420.html","Aliexpress"
"Ultra Sonic Sensor","Detecting and measuring the distance of objects",1,5.00,"https://www.aliexpress.com/item/1005007849944952.html","Aliexpress"
"Color Display","Radar sweep animation",1,10.00,"https://www.aliexpress.com/item/1005009761383945.html","AliExpress"
